tasks,iterations,walltime,status
1,1298767,4227.93s,CV
2,1298767,2122.88s,CV
3,1298767,1422.11s,CV
4,1298767,1071.37s,CV
5,1298767,864.47s,CV
6,1298767,727.04s,CV
7,1298767,623.82s,CV
8,1298767,549.70s,CV
9,1298767,490.83s,CV
10,1298767,443.65s,CV
11,1298767,405.56s,CV
12,1298767,373.38s,CV
13,1298767,344.81s,CV
14,1298767,322.33s,CV
15,1298767,302.40s,CV
16,1298767,284.02s,CV
17,1298767,267.99s,CV
18,1298767,255.69s,CV
19,1298767,241.80s,CV
20,1298767,230.59s,CV
21,1298767,221.22s,CV
22,1298767,213.33s,CV
23,1298767,203.85s,CV
24,1298767,195.95s,CV
25,1298767,189.90s,CV
26,1298767,183.68s,CV
27,1298767,177.28s,CV
28,1298767,171.81s,CV
29,1298767,167.09s,CV
30,1298767,162.81s,CV
31,1298767,157.91s,CV
32,1298767,153.13s,CV
