tasks,iterations,walltime,status
1,1298767,5937.82s,CV
2,1298767,2995.99s,CV
3,1298767,2010.30s,CV
4,1298767,1519.24s,CV
5,1298767,1230.83s,CV
6,1298767,1038.41s,CV
7,1298767,891.38s,CV
8,1298767,785.32s,CV
9,1298767,705.08s,CV
10,1298767,638.12s,CV
11,1298767,586.00s,CV
12,1298767,538.11s,CV
13,1298767,496.70s,CV
14,1298767,462.24s,CV
15,1298767,431.50s,CV
16,1298767,405.51s,CV
17,1298767,384.96s,CV
18,1298767,366.09s,CV
19,1298767,341.85s,CV
20,1298767,326.73s,CV
21,1298767,316.60s,CV
22,1298767,305.08s,CV
23,1298767,287.83s,CV
24,1298767,278.59s,CV
25,1298767,269.68s,CV
26,1298767,264.38s,CV
27,1298767,250.22s,CV
28,1298767,243.78s,CV
29,1298767,236.01s,CV
30,1298767,231.09s,CV
31,1298767,223.04s,CV
32,1298767,217.43s,CV
