omega,iterations,walltime,status
1.00,515423,25.19s,CV
1.01,495815,24.24s,CV
1.02,476767,23.28s,CV
1.03,458258,22.39s,CV
1.04,440267,21.53s,CV
1.05,422774,20.66s,CV
1.06,405760,19.83s,CV
1.07,389206,19.01s,CV
1.08,373095,18.24s,CV
1.09,357410,17.47s,CV
1.10,342135,16.73s,CV
1.11,327256,15.97s,CV
1.12,312756,15.29s,CV
1.13,298623,14.59s,CV
1.14,284843,13.91s,CV
1.15,271403,13.24s,CV
1.16,258290,12.61s,CV
1.17,245492,12.00s,CV
1.18,232999,11.40s,CV
1.19,220798,10.81s,CV
1.20,208879,10.21s,CV
1.21,197233,9.65s,CV
1.22,185848,9.10s,CV
1.23,174714,8.55s,CV
1.24,163824,8.02s,CV
1.25,153166,7.49s,CV
1.26,142732,6.99s,CV
1.27,132513,6.50s,CV
1.28,122500,6.00s,CV
1.29,112685,5.51s,CV
1.30,103057,5.04s,CV
1.31,93609,4.58s,CV
1.32,84330,4.13s,CV
1.33,75211,3.69s,CV
1.34,66241,3.24s,CV
1.35,57408,2.82s,CV
1.36,48699,2.39s,CV
1.37,40096,1.97s,CV
1.38,31576,1.56s,CV
1.39,23105,1.14s,CV
1.40,14614,0.72s,CV
1.41,5864,0.29s,CV
1.42,25504,1.26s,DV
1.43,8245,0.41s,DV
1.44,5026,0.26s,DV
1.45,3643,0.18s,DV
1.46,2871,0.15s,DV
1.47,2377,0.12s,DV
1.48,2034,0.11s,DV
1.49,1781,0.10s,DV
1.50,1588,0.08s,DV
1.51,1434,0.08s,DV
1.52,1309,0.07s,DV
1.53,1206,0.06s,DV
1.54,1119,0.06s,DV
1.55,1045,0.06s,DV
1.56,981,0.05s,DV
1.57,925,0.06s,DV
1.58,876,0.05s,DV
1.59,833,0.05s,DV
1.60,794,0.04s,DV
1.61,759,0.05s,DV
1.62,728,0.04s,DV
1.63,699,0.04s,DV
1.64,673,0.04s,DV
1.65,649,0.04s,DV
1.66,627,0.04s,DV
1.67,607,0.04s,DV
1.68,588,0.04s,DV
1.69,571,0.04s,DV
1.70,555,0.03s,DV
1.71,540,0.03s,DV
1.72,525,0.03s,DV
1.73,512,0.03s,DV
1.74,500,0.03s,DV
1.75,488,0.03s,DV
1.76,477,0.03s,DV
1.77,466,0.03s,DV
1.78,457,0.03s,DV
1.79,447,0.03s,DV
1.80,438,0.03s,DV
1.81,430,0.03s,DV
1.82,422,0.03s,DV
1.83,414,0.03s,DV
1.84,407,0.02s,DV
1.85,400,0.03s,DV
1.86,393,0.03s,DV
1.87,386,0.03s,DV
1.88,380,0.03s,DV
1.89,374,0.03s,DV
1.90,369,0.02s,DV
1.91,363,0.03s,DV
1.92,358,0.02s,DV
1.93,353,0.03s,DV
1.94,348,0.02s,DV
1.95,343,0.02s,DV
1.96,339,0.03s,DV
1.97,335,0.03s,DV
1.98,330,0.02s,DV
1.99,326,0.02s,DV
