tasks,iterations,walltime,status
1,1298767,3718.45s,CV
2,1298767,1856.38s,CV
3,1298767,1245.60s,CV
4,1298767,938.63s,CV
5,1298767,757.42s,CV
6,1298767,636.83s,CV
7,1298767,548.27s,CV
8,1298767,481.93s,CV
9,1298767,431.39s,CV
10,1298767,391.02s,CV
11,1298767,356.76s,CV
12,1298767,328.33s,CV
13,1298767,304.01s,CV
14,1298767,283.61s,CV
15,1298767,266.34s,CV
16,1298767,250.00s,CV
17,1298767,235.95s,CV
18,1298767,224.91s,CV
19,1298767,212.91s,CV
20,1298767,203.15s,CV
21,1298767,195.24s,CV
22,1298767,187.36s,CV
23,1298767,179.76s,CV
24,1298767,173.15s,CV
25,1298767,168.11s,CV
26,1298767,162.88s,CV
27,1298767,156.51s,CV
28,1298767,152.07s,CV
29,1298767,148.18s,CV
30,1298767,144.39s,CV
31,1298767,140.14s,CV
32,1298767,135.77s,CV
