omega,iterations,walltime,status
1.00,3214909,12176.87s,CV
1.10,2131758,8093.44s,CV
1.20,1298767,4930.56s,CV
1.30,637150,2419.00s,CV
1.40,84028,320.51s,CV
1.50,1577,6.03s,DV
1.60,792,3.01s,DV
1.70,554,2.11s,DV
1.80,438,1.67s,DV
1.90,369,1.41s,DV
