Ranks,NITER,N,MFlops,Time
18,1000000,1000,39082.93,51.17
18,100000,4000,22392.73,142.90
36,100000,4000,51328.16,62.34
54,100000,4000,79957.41,40.02
18,10000,10000,19496.17,102.58
36,10000,10000,39373.06,50.80
54,10000,10000,58297.92,34.31
72,10000,10000,70923.62,28.20
18,5000,20000,20075.04,199.25
36,5000,20000,38283.40,104.48
54,5000,20000,57572.90,69.48
72,5000,20000,76303.18,52.42
