Ranks,NITER,N,MFlops,Time
72,10000,10000,68968.46,29.00
144,10000,10000,94688.46,21.12
216,10000,10000,91690.53,21.81
72,5000,20000,76706.47,52.15
144,5000,20000,121971.75,32.79
216,5000,20000,143808.90,27.81
288,5000,20000,167354.09,23.90
